n,j,u[n][j],exact,error
0,0,0.000000,0.000000,0.000000
0,1,0.309017,0.309017,0.000000
0,2,0.587785,0.587785,0.000000
0,3,0.809017,0.809017,0.000000
0,4,0.951057,0.951057,0.000000
0,5,1.000000,1.000000,0.000000
0,6,0.951057,0.951057,0.000000
0,7,0.809017,0.809017,0.000000
0,8,0.587785,0.587785,0.000000
0,9,0.309017,0.309017,0.000000
0,10,0.000000,0.000000,0.000000
1,0,0.000000,0.000000,0.000000
1,1,0.297150,0.297055,0.031858
1,2,0.565213,0.565032,0.031858
1,3,0.777948,0.777701,0.031858
1,4,0.914533,0.914242,0.031858
1,5,0.961597,0.961291,0.031858
1,6,0.914533,0.914242,0.031858
1,7,0.777948,0.777701,0.031858
1,8,0.565213,0.565032,0.031858
1,9,0.297150,0.297055,0.031858
1,10,0.000000,0.000000,0.000000
2,0,0.000000,0.000000,0.000000
2,1,0.285738,0.285556,0.063705
2,2,0.543507,0.543160,0.063705
2,3,0.748073,0.747596,0.063705
2,4,0.879412,0.878852,0.063705
2,5,0.924669,0.924080,0.063705
2,6,0.879412,0.878852,0.063705
2,7,0.748073,0.747596,0.063705
2,8,0.543507,0.543160,0.063705
2,9,0.285738,0.285556,0.063705
2,10,0.000000,0.000000,0.000000
3,0,0.000000,0.000000,0.000000
3,1,0.274765,0.274503,0.095542
3,2,0.522634,0.522135,0.095542
3,3,0.719345,0.718657,0.095542
3,4,0.845640,0.844832,0.095542
3,5,0.889159,0.888309,0.095542
3,6,0.845640,0.844832,0.095542
3,7,0.719345,0.718657,0.095542
3,8,0.522634,0.522135,0.095542
3,9,0.274765,0.274503,0.095542
3,10,0.000000,0.000000,0.000000
4,0,0.000000,0.000000,0.000000
4,1,0.264213,0.263877,0.127370
4,2,0.502564,0.501924,0.127370
4,3,0.691720,0.690839,0.127370
4,4,0.813165,0.812130,0.127370
4,5,0.855013,0.853923,0.127370
4,6,0.813165,0.812130,0.127370
4,7,0.691720,0.690839,0.127370
4,8,0.502564,0.501924,0.127370
4,9,0.264213,0.263877,0.127370
4,10,0.000000,0.000000,0.000000
5,0,0.000000,0.000000,0.000000
5,1,0.254067,0.253662,0.159187
5,2,0.483264,0.482495,0.159187
5,3,0.665156,0.664097,0.159187
5,4,0.781937,0.780693,0.159187
5,5,0.822178,0.820869,0.159187
5,6,0.781937,0.780693,0.159187
5,7,0.665156,0.664097,0.159187
5,8,0.483264,0.482495,0.159187
5,9,0.254067,0.253662,0.159187
5,10,0.000000,0.000000,0.000000
6,0,0.000000,0.000000,0.000000
6,1,0.244310,0.243843,0.190994
6,2,0.464705,0.463818,0.190994
6,3,0.639612,0.638390,0.190994
6,4,0.751909,0.750472,0.190994
6,5,0.790603,0.789093,0.190994
6,6,0.751909,0.750472,0.190994
6,7,0.639612,0.638390,0.190994
6,8,0.464705,0.463818,0.190994
6,9,0.244310,0.243843,0.190994
6,10,0.000000,0.000000,0.000000
7,0,0.000000,0.000000,0.000000
7,1,0.234928,0.234404,0.222790
7,2,0.446859,0.445863,0.222790
7,3,0.615049,0.613678,0.222790
7,4,0.723033,0.721422,0.222790
7,5,0.760242,0.758548,0.222790
7,6,0.723033,0.721422,0.222790
7,7,0.615049,0.613678,0.222790
7,8,0.446859,0.445863,0.222790
7,9,0.234928,0.234404,0.222790
7,10,0.000000,0.000000,0.000000
8,0,0.000000,0.000000,0.000000
8,1,0.225906,0.225331,0.254577
8,2,0.429698,0.428604,0.254577
8,3,0.591429,0.589923,0.254577
8,4,0.695266,0.693496,0.254577
8,5,0.731046,0.729185,0.254577
8,6,0.695266,0.693496,0.254577
8,7,0.591429,0.589923,0.254577
8,8,0.429698,0.428604,0.254577
8,9,0.225906,0.225331,0.254577
8,10,0.000000,0.000000,0.000000
9,0,0.000000,0.000000,0.000000
9,1,0.217230,0.216608,0.286354
9,2,0.413197,0.412013,0.286354
9,3,0.568716,0.567088,0.286354
9,4,0.668566,0.666652,0.286354
9,5,0.702972,0.700959,0.286354
9,6,0.668566,0.666652,0.286354
9,7,0.568716,0.567088,0.286354
9,8,0.413197,0.412013,0.286354
9,9,0.217230,0.216608,0.286354
9,10,0.000000,0.000000,0.000000
10,0,0.000000,0.000000,0.000000
10,1,0.208888,0.208224,0.318120
10,2,0.397329,0.396065,0.318120
10,3,0.546876,0.545136,0.318120
10,4,0.642891,0.640846,0.318120
10,5,0.675976,0.673825,0.318120
10,6,0.642891,0.640846,0.318120
10,7,0.546876,0.545136,0.318120
10,8,0.397329,0.396065,0.318120
10,9,0.208888,0.208224,0.318120
10,10,0.000000,0.000000,0.000000
11,0,0.000000,0.000000,0.000000
11,1,0.200866,0.200163,0.349876
11,2,0.382070,0.380733,0.349876
11,3,0.525874,0.524034,0.349876
11,4,0.618202,0.616039,0.349876
11,5,0.650016,0.647742,0.349876
11,6,0.618202,0.616039,0.349876
11,7,0.525874,0.524034,0.349876
11,8,0.382070,0.380733,0.349876
11,9,0.200866,0.200163,0.349876
11,10,0.000000,0.000000,0.000000
12,0,0.000000,0.000000,0.000000
12,1,0.193152,0.192415,0.381623
12,2,0.367397,0.365995,0.381623
12,3,0.505679,0.503749,0.381623
12,4,0.594462,0.592193,0.381623
12,5,0.625054,0.622668,0.381623
12,6,0.594462,0.592193,0.381623
12,7,0.505679,0.503749,0.381623
12,8,0.367397,0.365995,0.381623
12,9,0.193152,0.192415,0.381623
12,10,0.000000,0.000000,0.000000
13,0,0.000000,0.000000,0.000000
13,1,0.185735,0.184967,0.413359
13,2,0.353288,0.351828,0.413359
13,3,0.486260,0.484250,0.413359
13,4,0.571632,0.569270,0.413359
13,5,0.601050,0.598565,0.413359
13,6,0.571632,0.569270,0.413359
13,7,0.486260,0.484250,0.413359
13,8,0.353288,0.351828,0.413359
13,9,0.185735,0.184967,0.413359
13,10,0.000000,0.000000,0.000000
14,0,0.000000,0.000000,0.000000
14,1,0.178602,0.177807,0.445085
14,2,0.339721,0.338209,0.445085
14,3,0.467586,0.465505,0.445085
14,4,0.549680,0.547234,0.445085
14,5,0.577968,0.575395,0.445085
14,6,0.549680,0.547234,0.445085
14,7,0.467586,0.465505,0.445085
14,8,0.339721,0.338209,0.445085
14,9,0.178602,0.177807,0.445085
14,10,0.000000,0.000000,0.000000
15,0,0.000000,0.000000,0.000000
15,1,0.171743,0.170924,0.476800
15,2,0.326675,0.325117,0.476800
15,3,0.449629,0.447485,0.476800
15,4,0.528571,0.526051,0.476800
15,5,0.555772,0.553122,0.476800
15,6,0.528571,0.526051,0.476800
15,7,0.449629,0.447485,0.476800
15,8,0.326675,0.325117,0.476800
15,9,0.171743,0.170924,0.476800
15,10,0.000000,0.000000,0.000000
16,0,0.000000,0.000000,0.000000
16,1,0.165148,0.164308,0.508506
16,2,0.314129,0.312532,0.508506
16,3,0.432362,0.430163,0.508506
16,4,0.508272,0.505687,0.508506
16,5,0.534429,0.531711,0.508506
16,6,0.508272,0.505687,0.508506
16,7,0.432362,0.430163,0.508506
16,8,0.314129,0.312532,0.508506
16,9,0.165148,0.164308,0.508506
16,10,0.000000,0.000000,0.000000
17,0,0.000000,0.000000,0.000000
17,1,0.158805,0.157948,0.540202
17,2,0.302066,0.300434,0.540202
17,3,0.415758,0.413512,0.540202
17,4,0.488753,0.486113,0.540202
17,5,0.513905,0.511129,0.540202
17,6,0.488753,0.486113,0.540202
17,7,0.415758,0.413512,0.540202
17,8,0.302066,0.300434,0.540202
17,9,0.158805,0.157948,0.540202
17,10,0.000000,0.000000,0.000000
18,0,0.000000,0.000000,0.000000
18,1,0.152707,0.151834,0.571887
18,2,0.290466,0.288805,0.571887
18,3,0.399792,0.397505,0.571887
18,4,0.469983,0.467296,0.571887
18,5,0.494170,0.491344,0.571887
18,6,0.469983,0.467296,0.571887
18,7,0.399792,0.397505,0.571887
18,8,0.290466,0.288805,0.571887
18,9,0.152707,0.151834,0.571887
18,10,0.000000,0.000000,0.000000
19,0,0.000000,0.000000,0.000000
19,1,0.146842,0.145956,0.603563
19,2,0.279311,0.277625,0.603563
19,3,0.384439,0.382118,0.603563
19,4,0.451935,0.449207,0.603563
19,5,0.475192,0.472324,0.603563
19,6,0.451935,0.449207,0.603563
19,7,0.384439,0.382118,0.603563
19,8,0.279311,0.277625,0.603563
19,9,0.146842,0.145956,0.603563
19,10,0.000000,0.000000,0.000000
20,0,0.000000,0.000000,0.000000
20,1,0.141203,0.140306,0.635228
20,2,0.268585,0.266878,0.635228
20,3,0.369675,0.367327,0.635228
20,4,0.434579,0.431818,0.635228
20,5,0.456943,0.454041,0.635228
20,6,0.434579,0.431818,0.635228
20,7,0.369675,0.367327,0.635228
20,8,0.268585,0.266878,0.635228
20,9,0.141203,0.140306,0.635228
20,10,0.000000,0.000000,0.000000
21,0,0.000000,0.000000,0.000000
21,1,0.135781,0.134875,0.666883
21,2,0.258270,0.256548,0.666883
21,3,0.355478,0.353108,0.666883
21,4,0.417890,0.415103,0.666883
21,5,0.439395,0.436465,0.666883
21,6,0.417890,0.415103,0.666883
21,7,0.355478,0.353108,0.666883
21,8,0.258270,0.256548,0.666883
21,9,0.135781,0.134875,0.666883
21,10,0.000000,0.000000,0.000000
22,0,0.000000,0.000000,0.000000
22,1,0.130566,0.129654,0.698529
22,2,0.248352,0.246617,0.698529
22,3,0.341827,0.339439,0.698529
22,4,0.401842,0.399035,0.698529
22,5,0.422521,0.419570,0.698529
22,6,0.401842,0.399035,0.698529
22,7,0.341827,0.339439,0.698529
22,8,0.248352,0.246617,0.698529
22,9,0.130566,0.129654,0.698529
22,10,0.000000,0.000000,0.000000
23,0,0.000000,0.000000,0.000000
23,1,0.125552,0.124635,0.730164
23,2,0.238814,0.237071,0.730164
23,3,0.328700,0.326300,0.730164
23,4,0.386410,0.383588,0.730164
23,5,0.406295,0.403329,0.730164
23,6,0.386410,0.383588,0.730164
23,7,0.328700,0.326300,0.730164
23,8,0.238814,0.237071,0.730164
23,9,0.125552,0.124635,0.730164
23,10,0.000000,0.000000,0.000000
24,0,0.000000,0.000000,0.000000
24,1,0.120731,0.119811,0.761789
24,2,0.229643,0.227894,0.761789
24,3,0.316077,0.313669,0.761789
24,4,0.371570,0.368740,0.761789
24,5,0.390692,0.387716,0.761789
24,6,0.371570,0.368740,0.761789
24,7,0.316077,0.313669,0.761789
24,8,0.229643,0.227894,0.761789
24,9,0.120731,0.119811,0.761789
24,10,0.000000,0.000000,0.000000
25,0,0.000000,0.000000,0.000000
25,1,0.116094,0.115173,0.793404
25,2,0.220824,0.219072,0.793404
25,3,0.303938,0.301527,0.793404
25,4,0.357301,0.354466,0.793404
25,5,0.375689,0.372708,0.793404
25,6,0.357301,0.354466,0.793404
25,7,0.303938,0.301527,0.793404
25,8,0.220824,0.219072,0.793404
25,9,0.116094,0.115173,0.793404
25,10,0.000000,0.000000,0.000000
26,0,0.000000,0.000000,0.000000
26,1,0.111636,0.110715,0.825009
26,2,0.212344,0.210592,0.825009
26,3,0.292266,0.289855,0.825009
26,4,0.343580,0.340745,0.825009
26,5,0.361261,0.358281,0.825009
26,6,0.343580,0.340745,0.825009
26,7,0.292266,0.289855,0.825009
26,8,0.212344,0.210592,0.825009
26,9,0.111636,0.110715,0.825009
26,10,0.000000,0.000000,0.000000
27,0,0.000000,0.000000,0.000000
27,1,0.107349,0.106429,0.856603
27,2,0.204189,0.202440,0.856603
27,3,0.281042,0.278635,0.856603
27,4,0.330385,0.327555,0.856603
27,5,0.347388,0.344412,0.856603
27,6,0.330385,0.327555,0.856603
27,7,0.281042,0.278635,0.856603
27,8,0.204189,0.202440,0.856603
27,9,0.107349,0.106429,0.856603
27,10,0.000000,0.000000,0.000000
28,0,0.000000,0.000000,0.000000
28,1,0.103226,0.102309,0.888188
28,2,0.196348,0.194604,0.888188
28,3,0.270250,0.267849,0.888188
28,4,0.317697,0.314876,0.888188
28,5,0.334047,0.331080,0.888188
28,6,0.317697,0.314876,0.888188
28,7,0.270250,0.267849,0.888188
28,8,0.196348,0.194604,0.888188
28,9,0.103226,0.102309,0.888188
28,10,0.000000,0.000000,0.000000
29,0,0.000000,0.000000,0.000000
29,1,0.099262,0.098349,0.919763
29,2,0.188807,0.187071,0.919763
29,3,0.259871,0.257481,0.919763
29,4,0.305497,0.302687,0.919763
29,5,0.321218,0.318264,0.919763
29,6,0.305497,0.302687,0.919763
29,7,0.259871,0.257481,0.919763
29,8,0.188807,0.187071,0.919763
29,9,0.099262,0.098349,0.919763
29,10,0.000000,0.000000,0.000000
30,0,0.000000,0.000000,0.000000
30,1,0.095450,0.094542,0.951327
30,2,0.181557,0.179829,0.951327
30,3,0.249891,0.247514,0.951327
30,4,0.293765,0.290970,0.951327
30,5,0.308883,0.305944,0.951327
30,6,0.293765,0.290970,0.951327
30,7,0.249891,0.247514,0.951327
30,8,0.181557,0.179829,0.951327
30,9,0.095450,0.094542,0.951327
30,10,0.000000,0.000000,0.000000
31,0,0.000000,0.000000,0.000000
31,1,0.091784,0.090882,0.982882
31,2,0.174584,0.172868,0.982882
31,3,0.240295,0.237933,0.982882
31,4,0.282483,0.279707,0.982882
31,5,0.297021,0.294101,0.982882
31,6,0.282483,0.279707,0.982882
31,7,0.240295,0.237933,0.982882
31,8,0.174584,0.172868,0.982882
31,9,0.091784,0.090882,0.982882
31,10,0.000000,0.000000,0.000000
32,0,0.000000,0.000000,0.000000
32,1,0.088260,0.087364,1.014427
32,2,0.167880,0.166177,1.014427
32,3,0.231067,0.228723,1.014427
32,4,0.271635,0.268880,1.014427
32,5,0.285614,0.282717,1.014427
32,6,0.271635,0.268880,1.014427
32,7,0.231067,0.228723,1.014427
32,8,0.167880,0.166177,1.014427
32,9,0.088260,0.087364,1.014427
32,10,0.000000,0.000000,0.000000
33,0,0.000000,0.000000,0.000000
33,1,0.084870,0.083983,1.045961
33,2,0.161433,0.159744,1.045961
33,3,0.222193,0.219869,1.045961
33,4,0.261204,0.258472,1.045961
33,5,0.274646,0.271773,1.045961
33,6,0.261204,0.258472,1.045961
33,7,0.222193,0.219869,1.045961
33,8,0.161433,0.159744,1.045961
33,9,0.084870,0.083983,1.045961
33,10,0.000000,0.000000,0.000000
34,0,0.000000,0.000000,0.000000
34,1,0.081611,0.080732,1.077485
34,2,0.155233,0.153561,1.077485
34,3,0.213660,0.211358,1.077485
34,4,0.251173,0.248466,1.077485
34,5,0.264099,0.261253,1.077485
34,6,0.251173,0.248466,1.077485
34,7,0.213660,0.211358,1.077485
34,8,0.155233,0.153561,1.077485
34,9,0.081611,0.080732,1.077485
34,10,0.000000,0.000000,0.000000
35,0,0.000000,0.000000,0.000000
35,1,0.078477,0.077607,1.109000
35,2,0.149272,0.147616,1.109000
35,3,0.205455,0.203177,1.109000
35,4,0.241527,0.238848,1.109000
35,5,0.253956,0.251140,1.109000
35,6,0.241527,0.238848,1.109000
35,7,0.205455,0.203177,1.109000
35,8,0.149272,0.147616,1.109000
35,9,0.078477,0.077607,1.109000
35,10,0.000000,0.000000,0.000000
36,0,0.000000,0.000000,0.000000
36,1,0.075463,0.074602,1.140504
36,2,0.143539,0.141902,1.140504
36,3,0.197565,0.195312,1.140504
36,4,0.232252,0.229603,1.140504
36,5,0.244204,0.241419,1.140504
36,6,0.232252,0.229603,1.140504
36,7,0.197565,0.195312,1.140504
36,8,0.143539,0.141902,1.140504
36,9,0.075463,0.074602,1.140504
36,10,0.000000,0.000000,0.000000
37,0,0.000000,0.000000,0.000000
37,1,0.072565,0.071715,1.171998
37,2,0.138027,0.136409,1.171998
37,3,0.189978,0.187751,1.171998
37,4,0.223332,0.220715,1.171998
37,5,0.234826,0.232073,1.171998
37,6,0.223332,0.220715,1.171998
37,7,0.189978,0.187751,1.171998
37,8,0.138027,0.136409,1.171998
37,9,0.072565,0.071715,1.171998
37,10,0.000000,0.000000,0.000000
38,0,0.000000,0.000000,0.000000
38,1,0.069778,0.068939,1.203483
38,2,0.132726,0.131129,1.203483
38,3,0.182682,0.180484,1.203483
38,4,0.214756,0.212171,1.203483
38,5,0.225808,0.223090,1.203483
38,6,0.214756,0.212171,1.203483
38,7,0.182682,0.180484,1.203483
38,8,0.132726,0.131129,1.203483
38,9,0.069778,0.068939,1.203483
38,10,0.000000,0.000000,0.000000
39,0,0.000000,0.000000,0.000000
39,1,0.067099,0.066270,1.234957
39,2,0.127629,0.126053,1.234957
39,3,0.175667,0.173497,1.234957
39,4,0.206509,0.203958,1.234957
39,5,0.217136,0.214454,1.234957
39,6,0.206509,0.203958,1.234957
39,7,0.175667,0.173497,1.234957
39,8,0.127629,0.126053,1.234957
39,9,0.067099,0.066270,1.234957
39,10,0.000000,0.000000,0.000000
40,0,0.000000,0.000000,0.000000
40,1,0.064522,0.063705,1.266421
40,2,0.122728,0.121174,1.266421
40,3,0.168921,0.166781,1.266421
40,4,0.198578,0.196063,1.266421
40,5,0.208797,0.206153,1.266421
40,6,0.198578,0.196063,1.266421
40,7,0.168921,0.166781,1.266421
40,8,0.122728,0.121174,1.266421
40,9,0.064522,0.063705,1.266421
40,10,0.000000,0.000000,0.000000
41,0,0.000000,0.000000,0.000000
41,1,0.062044,0.061239,1.297875
41,2,0.118015,0.116483,1.297875
41,3,0.162433,0.160325,1.297875
41,4,0.190952,0.188474,1.297875
41,5,0.200779,0.198173,1.297875
41,6,0.190952,0.188474,1.297875
41,7,0.162433,0.160325,1.297875
41,8,0.118015,0.116483,1.297875
41,9,0.062044,0.061239,1.297875
41,10,0.000000,0.000000,0.000000
42,0,0.000000,0.000000,0.000000
42,1,0.059661,0.058868,1.329319
42,2,0.113483,0.111974,1.329319
42,3,0.156196,0.154119,1.329319
42,4,0.183619,0.181178,1.329319
42,5,0.193068,0.190502,1.329319
42,6,0.183619,0.181178,1.329319
42,7,0.156196,0.154119,1.329319
42,8,0.113483,0.111974,1.329319
42,9,0.059661,0.058868,1.329319
42,10,0.000000,0.000000,0.000000
43,0,0.000000,0.000000,0.000000
43,1,0.057370,0.056590,1.360754
43,2,0.109125,0.107640,1.360754
43,3,0.150197,0.148153,1.360754
43,4,0.176567,0.174165,1.360754
43,5,0.185654,0.183128,1.360754
43,6,0.176567,0.174165,1.360754
43,7,0.150197,0.148153,1.360754
43,8,0.109125,0.107640,1.360754
43,9,0.057370,0.056590,1.360754
43,10,0.000000,0.000000,0.000000
44,0,0.000000,0.000000,0.000000
44,1,0.055167,0.054399,1.392178
44,2,0.104934,0.103473,1.392178
44,3,0.144429,0.142418,1.392178
44,4,0.169787,0.167423,1.392178
44,5,0.178524,0.176039,1.392178
44,6,0.169787,0.167423,1.392178
44,7,0.144429,0.142418,1.392178
44,8,0.104934,0.103473,1.392178
44,9,0.055167,0.054399,1.392178
44,10,0.000000,0.000000,0.000000
45,0,0.000000,0.000000,0.000000
45,1,0.053048,0.052293,1.423592
45,2,0.100904,0.099468,1.423592
45,3,0.138883,0.136906,1.423592
45,4,0.163266,0.160942,1.423592
45,5,0.171668,0.169225,1.423592
45,6,0.163266,0.160942,1.423592
45,7,0.138883,0.136906,1.423592
45,8,0.100904,0.099468,1.423592
45,9,0.053048,0.052293,1.423592
45,10,0.000000,0.000000,0.000000
46,0,0.000000,0.000000,0.000000
46,1,0.051011,0.050269,1.454996
46,2,0.097029,0.095617,1.454996
46,3,0.133549,0.131606,1.454996
46,4,0.156996,0.154712,1.454996
46,5,0.165076,0.162674,1.454996
46,6,0.156996,0.154712,1.454996
46,7,0.133549,0.131606,1.454996
46,8,0.097029,0.095617,1.454996
46,9,0.051011,0.050269,1.454996
46,10,0.000000,0.000000,0.000000
47,0,0.000000,0.000000,0.000000
47,1,0.049052,0.048323,1.486390
47,2,0.093303,0.091916,1.486390
47,3,0.128420,0.126512,1.486390
47,4,0.150967,0.148723,1.486390
47,5,0.158736,0.156377,1.486390
47,6,0.150967,0.148723,1.486390
47,7,0.128420,0.126512,1.486390
47,8,0.093303,0.091916,1.486390
47,9,0.049052,0.048323,1.486390
47,10,0.000000,0.000000,0.000000
48,0,0.000000,0.000000,0.000000
48,1,0.047169,0.046453,1.517774
48,2,0.089720,0.088358,1.517774
48,3,0.123489,0.121614,1.517774
48,4,0.145170,0.142966,1.517774
48,5,0.152640,0.150324,1.517774
48,6,0.145170,0.142966,1.517774
48,7,0.123489,0.121614,1.517774
48,8,0.089720,0.088358,1.517774
48,9,0.047169,0.046453,1.517774
48,10,0.000000,0.000000,0.000000
49,0,0.000000,0.000000,0.000000
49,1,0.045357,0.044654,1.549148
49,2,0.086274,0.084938,1.549148
49,3,0.118746,0.116907,1.549148
49,4,0.139595,0.137432,1.549148
49,5,0.146779,0.144505,1.549148
49,6,0.139595,0.137432,1.549148
49,7,0.118746,0.116907,1.549148
49,8,0.086274,0.084938,1.549148
49,9,0.045357,0.044654,1.549148
49,10,0.000000,0.000000,0.000000
50,0,0.000000,0.000000,0.000000
50,1,0.043615,0.042926,1.580512
50,2,0.082961,0.081650,1.580512
50,3,0.114186,0.112381,1.580512
50,4,0.134234,0.132112,1.580512
50,5,0.141142,0.138911,1.580512
50,6,0.134234,0.132112,1.580512
50,7,0.114186,0.112381,1.580512
50,8,0.082961,0.081650,1.580512
50,9,0.043615,0.042926,1.580512
50,10,0.000000,0.000000,0.000000
51,0,0.000000,0.000000,0.000000
51,1,0.041940,0.041264,1.611867
51,2,0.079775,0.078489,1.611867
51,3,0.109801,0.108031,1.611867
51,4,0.129079,0.126998,1.611867
51,5,0.135722,0.133534,1.611867
51,6,0.129079,0.126998,1.611867
51,7,0.109801,0.108031,1.611867
51,8,0.079775,0.078489,1.611867
51,9,0.041940,0.041264,1.611867
51,10,0.000000,0.000000,0.000000
52,0,0.000000,0.000000,0.000000
